"detica_ordermarketresourceSet", "detica_detica_ordermarketresource_detica_orderadvisorresource_ordermarketresourceid", "detica_detica_ordermarketresource_detica_orderadvisorresource00"
"BusinessUnitSet", "detica_businessunit_detica_omisorder_LeadHandlingServiceProvider", "detica_businessunit_detica_omisorder_LeadHandlingServiceProvi00"
"BusinessUnitSet", "detica_businessunit_detica_specialistdeliveryprovider_ServiceProvider", "detica_businessunit_detica_specialistdeliveryprovider_Service00"
"BusinessUnitSet", "optevia_businessunit_recurringappointmentmaster_ServiceProvider", "optevia_businessunit_recurringappointmentmaster_ServiceProvid00"
"BusinessUnitSet", "detica_businessunit_detica_interaction_DataEntryServiceProvider", "detica_businessunit_detica_interaction_DataEntryServiceProvid00"
"BusinessUnitSet", "detica_businessunit_detica_omisorder_LeadDeliveryServiceProvider", "detica_businessunit_detica_omisorder_LeadDeliveryServiceProvi00"
"detica_specialistdeliveryproviderSet", "detica_specialistdeliveryprovider_PrincipalObjectAttributeAccesses", "detica_specialistdeliveryprovider_PrincipalObjectAttributeAcc00"
"detica_specialistdeliveryproviderSet", "detica_businessunit_detica_specialistdeliveryprovider_ServiceProvider", "detica_businessunit_detica_specialistdeliveryprovider_Service00"
"detica_specialistdeliveryproviderSet", "detica_team_detica_specialistdeliveryprovider_overseasmanagementteamid", "detica_team_detica_specialistdeliveryprovider_overseasmanagem00"
"detica_specialistdeliveryproviderSet", "detica_detica_specialistdeliveryprovider_detica_omisorder_SpecialistDeliveryProvider", "detica_detica_specialistdeliveryprovider_detica_omisorder_Spe00"
"optevia_projectserviceproviderSet", "detica_detica_projectadvisorrole_optevia_projectserviceprovider_ProjectAdvisorRole", "detica_detica_projectadvisorrole_optevia_projectserviceprovid00"
"optevia_projectserviceproviderSet", "optevia_projectserviceprovider_PrincipalObjectAttributeAccesses", "optevia_projectserviceprovider_PrincipalObjectAttributeAccess00"
"detica_projectadvisorroleSet", "detica_detica_projectadvisorrole_optevia_project_ProjectAdvisorRole", "detica_detica_projectadvisorrole_optevia_project_ProjectAdvis00"
"detica_projectadvisorroleSet", "detica_detica_projectadvisorrole_optevia_projectserviceprovider_ProjectAdvisorRole", "detica_detica_projectadvisorrole_optevia_projectserviceprovid00"
"detica_investmentrdelementSet", "detica_detica_investmentrdelement_optevia_project_investmentrdelement", "detica_detica_investmentrdelement_optevia_project_investmentr00"
"RecurringAppointmentMasterSet", "optevia_recurringappointmentmaster_InteractionCommunicationChannel", "optevia_recurringappointmentmaster_InteractionCommunicationCh00"
"RecurringAppointmentMasterSet", "optevia_businessunit_recurringappointmentmaster_ServiceProvider", "optevia_businessunit_recurringappointmentmaster_ServiceProvid00"
"detica_skilledresourcelevelSet", "detica_detica_skilledresourcelevel_optevia_project_skilledresourcerequired", "detica_detica_skilledresourcelevel_optevia_project_skilledres00"
"DuplicateRecordSet", "optevia_fdiaftercarevisittaskeventscore_DuplicateMatchingRecord", "optevia_fdiaftercarevisittaskeventscore_DuplicateMatchingReco00"
"DuplicateRecordSet", "detica_investmentstrategicpoliticalimportance_DuplicateBaseRecord", "detica_investmentstrategicpoliticalimportance_DuplicateBaseRe00"
"DuplicateRecordSet", "detica_investmentsreputationenhancement_DuplicateMatchingRecord", "detica_investmentsreputationenhancement_DuplicateMatchingReco00"
"DuplicateRecordSet", "optevia_interactioncommunicationchannel_DuplicateMatchingRecord", "optevia_interactioncommunicationchannel_DuplicateMatchingReco00"
"DuplicateRecordSet", "detica_investmentstrategicpoliticalimportance_DuplicateMatchingRecord", "detica_investmentstrategicpoliticalimportance_DuplicateMatchi00"
"DuplicateRecordSet", "optevia_organisationcountrylevelofinterest_DuplicateMatchingRecord", "optevia_organisationcountrylevelofinterest_DuplicateMatchingR00"
"DuplicateRecordSet", "detica_projectinvestmentdeliverypartner_DuplicateMatchingRecord", "detica_projectinvestmentdeliverypartner_DuplicateMatchingReco00"
"DuplicateRecordSet", "optevia_fdiaftercarevisitserviceprovider_DuplicateMatchingRecord", "optevia_fdiaftercarevisitserviceprovider_DuplicateMatchingRec00"
"SystemUserSet", "lk_detica_investmentstrategicpoliticalimportance_modifiedonbehalfby", "lk_detica_investmentstrategicpoliticalimportance_modifiedonbe00"
"SystemUserSet", "lk_optevia_organisationcountrylevelofinterest_createdonbehalfby", "lk_optevia_organisationcountrylevelofinterest_createdonbehalf00"
"SystemUserSet", "lk_optevia_organisationcountrylevelofinterest_modifiedonbehalfby", "lk_optevia_organisationcountrylevelofinterest_modifiedonbehal00"
"SystemUserSet", "lk_detica_investmentstrategicpoliticalimportance_createdonbehalfby", "lk_detica_investmentstrategicpoliticalimportance_createdonbeh00"
"optevia_fdiaftercarevisittaskprioritySet", "optevia_fdiaftercarevisittaskpriority_PrincipalObjectAttributeAccesses", "optevia_fdiaftercarevisittaskpriority_PrincipalObjectAttribut00"
"optevia_interactioncommunicationchannelSet", "optevia_interactioncommunicationchannel_PrincipalObjectAttributeAccesses", "optevia_interactioncommunicationchannel_PrincipalObjectAttrib00"
"optevia_interactioncommunicationchannelSet", "optevia_interactioncommunicationchannel_DuplicateMatchingRecord", "optevia_interactioncommunicationchannel_DuplicateMatchingReco00"
"optevia_interactioncommunicationchannelSet", "optevia_recurringappointmentmaster_InteractionCommunicationChannel", "optevia_recurringappointmentmaster_InteractionCommunicationCh00"
"optevia_interactioncommunicationchannelSet", "optevia_interactioncommunicationchannel_UserEntityInstanceDatas", "optevia_interactioncommunicationchannel_UserEntityInstanceDat00"
"optevia_communicationpreferenceSet", "optevia_communicationpreference_PrincipalObjectAttributeAccesses", "optevia_communicationpreference_PrincipalObjectAttributeAcces00"
"detica_specificinvestmentprogrammeSet", "detica_detica_specificinvestmentprogramme_optevia_project_specificbusinessrequirement", "detica_detica_specificinvestmentprogramme_optevia_project_spe00"
"detica_specificinvestmentprogrammeSet", "detica_specificinvestmentprogramme_PrincipalObjectAttributeAccesses", "detica_specificinvestmentprogramme_PrincipalObjectAttributeAc00"
"detica_salaryabovethresholdSet", "detica_detica_salaryabovethreshold_optevia_project_newjobaveragesalaryabovethreshold", "detica_detica_salaryabovethreshold_optevia_project_newjobaver00"
"TeamSet", "detica_team_detica_specialistdeliveryprovider_overseasmanagementteamid", "detica_team_detica_specialistdeliveryprovider_overseasmanagem00"
"detica_accesstoresourcesSet", "detica_detica_accesstoresources_optevia_project_accesstoresources", "detica_detica_accesstoresources_optevia_project_accesstoresou00"
"detica_proximitytosupplierSet", "detica_detica_proximitytosupplier_optevia_project_proximitytosupplier", "detica_detica_proximitytosupplier_optevia_project_proximityto00"
"optevia_projectorganisationSet", "detica_detica_investorquality_optevia_projectorganisation_investorquality", "detica_detica_investorquality_optevia_projectorganisation_inv00"
"optevia_organisationorganisationtypeSet", "optevia_organisationorganisationtype_PrincipalObjectAttributeAccesses", "optevia_organisationorganisationtype_PrincipalObjectAttribute00"
"detica_orderadvisorresourceSet", "detica_detica_ordermarketresource_detica_orderadvisorresource_ordermarketresourceid", "detica_detica_ordermarketresource_detica_orderadvisorresource00"
"optevia_fdiaftercarevisittaskeventscoreSet", "optevia_fdiaftercarevisittaskeventscore_DuplicateMatchingRecord", "optevia_fdiaftercarevisittaskeventscore_DuplicateMatchingReco00"
"optevia_fdiaftercarevisittaskeventscoreSet", "optevia_fdiaftercarevisittaskeventscore_PrincipalObjectAttributeAccesses", "optevia_fdiaftercarevisittaskeventscore_PrincipalObjectAttrib00"
"optevia_fdiaftercarevisittaskeventscoreSet", "optevia_fdiaftercarevisittaskeventscore_UserEntityInstanceDatas", "optevia_fdiaftercarevisittaskeventscore_UserEntityInstanceDat00"
"detica_investorcredibilitySet", "detica_detica_investorcredibility_optevia_project_investorcredibility", "detica_detica_investorcredibility_optevia_project_investorcre00"
"detica_projectbringsnewworldSet", "detica_detica_projectbringsnewworld_optevia_project_projectbringsnewworld", "detica_detica_projectbringsnewworld_optevia_project_projectbr00"
"TransactionCurrencySet", "optevia_fdiaftercarevisit_transactioncurrency_transactioncurrencyid", "optevia_fdiaftercarevisit_transactioncurrency_transactioncurr00"
"detica_investmentabovethresholdSet", "detica_investmentabovethreshold_PrincipalObjectAttributeAccesses", "detica_investmentabovethreshold_PrincipalObjectAttributeAcces00"
"detica_investmentabovethresholdSet", "detica_detica_investmentabovethreshold_optevia_project_investmentabovethreshold", "detica_detica_investmentabovethreshold_optevia_project_invest00"
"optevia_employeerangeSet", "detica_optevia_employeerange_contact_unqualifiedparentorgemployeerange", "detica_optevia_employeerange_contact_unqualifiedparentorgempl00"
"optevia_employeerangeSet", "detica_optevia_employeerange_contact_unqualifiedorganisationemployeesrange", "detica_optevia_employeerange_contact_unqualifiedorganisatione00"
"ContactSet", "detica_optevia_turnoverrange_contact_unqualifiedorganisationturnoverrange", "detica_optevia_turnoverrange_contact_unqualifiedorganisationt00"
"ContactSet", "detica_optevia_employeerange_contact_unqualifiedparentorgemployeerange", "detica_optevia_employeerange_contact_unqualifiedparentorgempl00"
"ContactSet", "detica_optevia_turnoverrange_contact_unqualifiedparentorgturnoverrange", "detica_optevia_turnoverrange_contact_unqualifiedparentorgturn00"
"ContactSet", "detica_optevia_employeerange_contact_unqualifiedorganisationemployeesrange", "detica_optevia_employeerange_contact_unqualifiedorganisatione00"
"optevia_programmeinternalprojectSet", "optevia_programmeinternalproject_PrincipalObjectAttributeAccesses", "optevia_programmeinternalproject_PrincipalObjectAttributeAcce00"
"BulkDeleteFailureSet", "detica_investmentstrategicpoliticalimportance_BulkDeleteFailures", "detica_investmentstrategicpoliticalimportance_BulkDeleteFailu00"
"PrincipalObjectAttributeAccessSet", "detica_investmentsreputationenhancement_PrincipalObjectAttributeAccesses", "detica_investmentsreputationenhancement_PrincipalObjectAttrib00"
"PrincipalObjectAttributeAccessSet", "optevia_organisationorganisationtype_PrincipalObjectAttributeAccesses", "optevia_organisationorganisationtype_PrincipalObjectAttribute00"
"PrincipalObjectAttributeAccessSet", "detica_specialistdeliveryprovider_PrincipalObjectAttributeAccesses", "detica_specialistdeliveryprovider_PrincipalObjectAttributeAcc00"
"PrincipalObjectAttributeAccessSet", "optevia_fdiaftercarevisittaskeventscore_PrincipalObjectAttributeAccesses", "optevia_fdiaftercarevisittaskeventscore_PrincipalObjectAttrib00"
"PrincipalObjectAttributeAccessSet", "optevia_projectserviceprovider_PrincipalObjectAttributeAccesses", "optevia_projectserviceprovider_PrincipalObjectAttributeAccess00"
"PrincipalObjectAttributeAccessSet", "optevia_interactioncommunicationchannel_PrincipalObjectAttributeAccesses", "optevia_interactioncommunicationchannel_PrincipalObjectAttrib00"
"PrincipalObjectAttributeAccessSet", "detica_specificinvestmentprogramme_PrincipalObjectAttributeAccesses", "detica_specificinvestmentprogramme_PrincipalObjectAttributeAc00"
"PrincipalObjectAttributeAccessSet", "optevia_projectserviceproviderrole_PrincipalObjectAttributeAccesses", "optevia_projectserviceproviderrole_PrincipalObjectAttributeAc00"
"PrincipalObjectAttributeAccessSet", "detica_investmentstrategicpoliticalimportance_PrincipalObjectAttributeAccesses", "detica_investmentstrategicpoliticalimportance_PrincipalObject00"
"PrincipalObjectAttributeAccessSet", "detica_clientrequirementcomplexity_PrincipalObjectAttributeAccesses", "detica_clientrequirementcomplexity_PrincipalObjectAttributeAc00"
"PrincipalObjectAttributeAccessSet", "optevia_fdiaftercarevisittasktype_PrincipalObjectAttributeAccesses", "optevia_fdiaftercarevisittasktype_PrincipalObjectAttributeAcc00"
